instance,seed,generation_attempt,dimension,dtype,threads,mu,tau,C_phys,C_bin,no_aliasing,aliasing_margin,singular_bin_assigned,zero_bin_separated,rotation_valid,parameter_target_met,predicted_rhs_filter_relative_error,parameter_selection_seconds,ancilla_success_probability,ancilla_clock_zero_probability,tn_clock_zero_equivalent_probability,ancilla_clock_zero_probability_absolute_difference,fidelity_tn_ancilla_clock_zero,fidelity_tn_ancilla,ancilla_conditioned_purity,probability_rmse_tn_ancilla_clock_zero,probability_rmse_tn_ancilla,probability_rmse_sampled_ancilla_exact,sampled_ancilla_success_probability,shots,successful_ancilla_shots,timing_repetitions,qiskit_unitary_seconds,qiskit_circuit_seconds,qiskit_transpile_seconds,qiskit_statevector_seconds,qiskit_extraction_postprocessing_seconds,qiskit_shots_seconds,qiskit_total_exact_seconds,tn_unitary_seconds,tn_preparation_seconds,tn_contraction_seconds,tn_normalization_postprocessing_seconds,tn_total_seconds,speedup_total,speedup_core_valid,speedup_core,qiskit_exact_rss_baseline_bytes,qiskit_exact_peak_rss_bytes,qiskit_exact_peak_rss_delta_bytes,tn_rss_baseline_bytes,tn_peak_rss_bytes,tn_peak_rss_delta_bytes
10,12345,1,16,complex128,1,128,39.09690326156945,0.023019725986448157,0.9,True,25.290194790525256,False,True,True,True,0.009693299474632211,0.0628504000196699,0.005527689596443019,0.005219980992839612,0.005219980992839977,3.651592916931179e-16,1.0,0.949847223421264,0.902684597578024,1.0338110720899727e-14,0.005118725321867342,0.00866145147936311,0.00538,100000,538,3,0.00032479999936185777,0.2803783999988809,0.15448990001459606,0.17900210001971573,0.00011550000635907054,0.259867699991446,0.6160619000438601,0.00040279998211190104,0.004232200008118525,0.00018350000027567148,4.4199987314641476e-05,0.004841999994823709,127.23294107857389,False,,303677440,327176192,23498752,212803584,213008384,204800
11,12345,1,16,complex128,1,128,57.04301431212522,0.015777567347255238,0.9000000000000001,True,7.5217680077967515,False,True,True,True,0.009948960230446462,0.06208109998260625,0.009547352486835331,0.009143460217905706,0.009143460217906602,8.951173136040325e-16,1.0,0.9608624135263313,0.923582716220037,1.713779379640007e-14,0.0037249593725356385,0.006970075118455865,0.00907,100000,907,3,0.0002460000105202198,0.2830670999828726,0.15511060002609156,0.18560860000434332,0.00011559997801668942,0.2675362000009045,0.624147400027141,0.00038800001493655145,0.004457499977434054,0.000201700022444129,4.4899992644786835e-05,0.005099300004076213,122.39864285847432,False,,303747072,327536640,23789568,212750336,212942848,192512
12,12345,1,16,complex128,1,128,49.59573004529589,0.018146723501761705,0.9,True,14.895316786835721,False,True,True,True,0.00881670853818086,0.06104829997639172,0.022387698862771165,0.021507282875893634,0.02150728287590216,8.52443116095003e-15,1.0,0.9655312827128427,0.9333649226631483,7.096100392526169e-15,0.004652146606105215,0.0049650086918472695,0.02276,100000,2276,3,0.0002510999911464751,0.2925150999799371,0.16718200000468642,0.18175640000845306,0.00011860000086016953,0.27471840000362135,0.6448976000247058,0.00040030002128332853,0.004422800004249439,0.00019789999350905418,4.8200017772614956e-05,0.005081200011773035,126.91836545117125,False,,303669248,327876608,24207360,213450752,213684224,233472
13,12345,1,16,complex128,1,128,52.427603787370685,0.017166529365906315,0.9,True,12.091481398642848,False,True,True,True,0.0063269826517946305,0.06198309999308549,0.025692103656758752,0.019606379445738856,0.019606379445739792,9.367506770274758e-16,1.0,0.9469080824375399,0.9081478574591367,6.496196415014362e-15,0.006501722334807939,0.0028877475278112253,0.02572,100000,2572,3,0.0002938999969046563,0.2975264000124298,0.16396040000836365,0.19328489998588338,0.00012420001439750195,0.31423659998108633,0.6587942999904044,0.00041290000081062317,0.004708100022980943,0.00019710001652128994,5.09000092279166e-05,0.005332000000635162,123.55481993847094,False,,305061888,330055680,24993792,213635072,213819392,184320
14,12345,1,16,complex128,1,2048,478.24641482475056,0.0018818750587598187,0.9000000000000001,True,550.4886981933164,False,True,True,True,0.007680748038289074,0.04409989999840036,0.12797549394899754,0.12794406325650126,0.12794406236135406,8.951472063589705e-10,0.9999999999973919,0.9999566401316062,0.9999132827024158,1.96760500572708e-07,3.880959124553964e-06,0.0020446169238167895,0.1262,100000,12620,3,0.00034420000156387687,0.4200927000201773,0.4356385999999475,1.070461700001033,0.00040049999370239675,1.1443604000087362,1.9053096999996342,0.0008470000175293535,0.15475449999212287,0.032404800003860146,6.680001388303936e-05,0.1874344999960158,10.165202777717733,False,,321130496,378880000,57749504,361828352,564645888,202817536
15,12345,1,16,complex128,1,512,193.84566803761132,0.004642868778606781,0.9,True,64.07359600236492,False,True,True,True,0.00676800875687371,0.0656709999893792,0.0011978224958201626,0.0009338289896071101,0.0009338289896070149,9.519295074422729e-17,1.0,0.9300172747312876,0.8810797106805314,6.833875753817855e-15,0.015870677165568572,0.017267533890313373,0.00135,100000,135,3,0.00027370001771487296,0.34056309997686185,0.18996459999470972,0.44923240001662634,0.00018679999629966915,0.5464346999942791,0.9843767999846023,0.0003671000013127923,0.01878539999597706,0.002036299993051216,5.0300004659220576e-05,0.021246599993901327,46.33102709455442,False,,305037312,348184576,43147264,234614784,234803200,188416
16,12345,1,16,complex128,1,128,44.89577334950487,0.02004643049566548,0.9,True,19.54873925791602,False,True,True,True,0.008149914216540561,0.06303639998077415,0.01369233792576563,0.013474586982863445,0.013474586982862939,5.065392549852277e-16,1.0,0.9849579730510083,0.9701918195871311,1.4213359674630215e-14,0.0023804129058629785,0.0050857218725771655,0.01426,100000,1426,3,0.00025189999723806977,0.2686130999936722,0.14152439997997135,0.15222230000654235,0.00010530001600272954,0.24569910002173856,0.5612245999800507,0.00039679999463260174,0.004217399982735515,0.00016950001008808613,3.959998139180243e-05,0.00484629996935837,115.80475899727571,False,,303910912,331399168,27488256,213336064,213569536,233472
17,12345,1,16,complex128,1,256,70.78997102042365,0.012713665326128479,0.9,True,57.910919781758736,False,True,True,True,0.0036293419706093944,0.062210400006733835,0.02157158349030938,0.016519161681717555,0.016519161681720868,3.3133218391157016e-15,0.9999999999999996,0.9771964852951042,0.9624962002970481,6.165679153765844e-15,0.008088144688255357,0.005471893700321699,0.02194,100000,2194,3,0.00024160000612027943,0.3070517999876756,0.16121089999796823,0.24599220001255162,0.00013780000153928995,0.3448592000058852,0.7155188999895472,0.00036219999310560524,0.008622599998489022,0.0005166000046301633,4.4599990360438824e-05,0.00954599998658523,74.95483982768167,False,,308502528,336457728,27955200,218296320,221163520,2867200
18,12345,1,16,complex128,1,256,109.83436378053102,0.008194156810507532,0.9,True,19.25310516779119,False,True,True,True,0.0057639613742333715,0.06222910000360571,0.0028137430175291704,0.002321397396212948,0.002321397396212698,2.502338614096544e-16,0.9999999999999998,0.8791575911445595,0.7835420110884597,3.263627566468373e-14,0.014211710281820122,0.017734501042913214,0.00301,100000,301,3,0.00023010000586509705,0.3214598000049591,0.16176390001783147,0.25503780000144616,0.000152900000102818,0.3574118999822531,0.7380727999552619,0.0003744999994523823,0.009126299992203712,0.0005621000018436462,5.140001303516328e-05,0.010093399963807315,73.12429930467698,False,,308396032,335486976,27090944,217841664,220643328,2801664
19,12345,1,16,complex128,1,128,22.33193495734385,0.04030103086539912,0.9000000000000001,True,41.88917330956055,False,True,True,True,0.006854256793889231,0.06117869997979142,0.04194103245832576,0.032098187672905364,0.03209818767290599,6.245004513516506e-16,0.9999999999999996,0.9567420759749994,0.9270215299632488,6.178856816979961e-15,0.009149769748077113,0.0030115785197373794,0.04092,100000,4092,3,0.00023599999258294702,0.2795493000012357,0.1442148000060115,0.15574819999164902,0.00010649999603629112,0.259250900009647,0.58039769998868,0.00037709999014623463,0.004303399997297674,0.00017889999435283244,3.920000744983554e-05,0.004898599989246577,118.48236256538009,False,,303435776,327827456,24391680,213999616,214196224,196608
