problem,mu,tau,feasible,no_aliasing,min_abs_tau_lambda,max_abs_tau_lambda,C_phys,C_bin,rotation_valid,max_grid_distance,operator_absolute_filter_error,operator_relative_filter_error,rhs_relative_filter_error,cost_proxy,target_met,selected,rejection_reason,parameter_selection_method
harmonic_oscillator,512,1368.7108922664008,True,True,0.7037266207428041,228.33701404308937,,,True,0.48737807211320217,933.4034848075473,0.47991207190986807,0.10108060451548596,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,512,1381.0769616119665,True,True,0.7100846706725568,230.40000000000003,,,True,0.4955140514300638,910.1169272483596,0.4679392217247389,0.09642349971740143,165188096,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,972.4734377830458,False,True,0.5,162.23417397658835,,,True,0.5,1576.5145595516021,0.8105694707433824,0.2666330078980475,1187587072,False,False,zero_bin_separation,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,998.8554024464208,True,True,0.513564362602807,166.63538030135896,,,True,0.4961326616687245,1542.9321069317548,0.793302956659252,0.2564346045452859,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1025.9530761795331,True,True,0.527496709071255,171.1559857430876,,,True,0.49367440616151725,1506.7778535216823,0.7747141438416528,0.24558893674657242,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1053.7858752570612,True,True,0.5418070223385144,175.79922944760767,,,True,0.4987892441572157,1467.9353031840978,0.7547431354683372,0.2341949768867589,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1082.3737426924677,True,True,0.556505556162008,180.56843843465052,,,True,0.4743194694750166,1426.2969520391418,0.733334658111938,0.2222449703714448,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1111.7371625277437,True,True,0.5716028424705246,185.467029981751,,,True,0.4981775644371851,1381.767527194395,0.7104397269422699,0.20964787690941833,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1141.8971745108283,True,True,0.5871096989106556,190.4985140728274,,,True,0.49851407282739046,1334.2676738151167,0.6860175414440396,0.19665758379747195,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1172.8753891712,True,True,0.6030372365979536,195.66649591318696,,,True,0.4989704499062384,1283.7381054651817,0.6600376193265124,0.18308605155011837,1187587072,False,False,,exact_spectral_benchmark_oracle
harmonic_oscillator,1024,1204.6940033044532,True,True,0.6193968680783725,200.97467851276124,,,True,0.49819569939998587,1230.144221837071,0.6324821707425958,0.16987460428754642,1187587072,False,False,,exact_spectral_benchmark_oracle
