n_c,mu,tau,instance_count,rmse_mean,rmse_sample_std,rmse_standard_error,rmse_confidence_interval_95_low,rmse_confidence_interval_95_high,relative_solution_error_mean,normalized_residual_mean,no_aliasing_fraction,mean_grid_distance,max_grid_distance,confidence_interval_method,evaluation_method
11,2048,50.0,20,1.0378126276683284,4.102494617646109,0.9173456842383707,-0.8822139556502304,2.9578392109868874,0.15127857201392714,0.04183800112432058,1.0,0.2617115367964958,0.49933518870138727,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
11,2048,100.0,20,0.9621629048729089,4.081987880486848,0.9127602384098878,-0.9482662300264492,2.872592039772267,0.09929535653283936,0.028613217343886117,1.0,0.2425779252332895,0.4964783904521539,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
11,2048,200.0,20,0.8393857077170678,3.682964509715522,0.8235359002443091,-0.8842947411630725,2.563066156597208,0.059680530318894254,0.02182590265122504,1.0,0.2470507869008356,0.49390912963048095,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
11,2048,500.0,20,0.047132550164811986,0.18392850809007996,0.041127664708953876,-0.03894864137266817,0.13321374170229214,0.008485336019667987,0.00249634246523746,1.0,0.241082943504979,0.49906720776611735,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
11,2048,1000.0,20,0.04182554851903163,0.17338651884160053,0.038770404251186684,-0.039321840177836256,0.12297293721589951,0.00526112828838402,0.0017240347083136594,1.0,0.24033032074460312,0.4988774413390331,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
11,2048,10000.0,20,8.612185589800527,9.088824599305775,2.032322963962,4.35848473990167,12.865886439699384,10.066020493393058,41.171889398020554,0.0,0.23060171800183332,0.49090865323978505,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,0.1,20,1.705829787614118,3.9604938075917677,0.8855933378242165,-0.1477383708757105,3.5593979461039464,0.9999957496433755,0.9999151018050147,1.0,0.044493156377868354,0.0990099009900991,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,1.0,20,1.6982984753928239,3.962556601782088,0.8860545926275313,-0.156235100495554,3.552832051281202,0.9865903648058371,0.7802549348687592,1.0,0.2506930521581907,0.4963724520753078,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,10.0,20,1.4603161965684062,4.024450350106349,0.8998944554910624,-0.4231845452030545,3.3438169383398666,0.6245395654571684,0.20809553306348091,1.0,0.23001144181988073,0.4972780728306132,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,50.0,20,1.0378126275113002,4.102494617674477,0.9173456842447141,-0.8822139558205355,2.9578392108431357,0.15127857153973082,0.04183800378591103,1.0,0.2617115367964958,0.49933518870138727,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,100.0,20,0.9621629033351657,4.081987880768994,0.9127602384729777,-0.9482662316962409,2.872592038366572,0.09929535343462945,0.02861321465761823,1.0,0.2425779252332895,0.4964783904521539,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,200.0,20,0.8393857074334106,3.682964509216506,0.8235359001327258,-0.8842947412131832,2.563066156080004,0.05968053459558046,0.02182588488269779,1.0,0.2470507869008356,0.49390912963048095,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,500.0,20,0.04713253860634255,0.183928511645093,0.04112766550387896,-0.038948654594934934,0.13321373180762003,0.008485325293797134,0.0024965859378694956,1.0,0.241082943504979,0.49906720776611735,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,1000.0,20,0.041824626944342636,0.1733867479277588,0.03877045547640894,-0.03932286896814763,0.1229721228568329,0.0052591921291282855,0.001649491571615815,1.0,0.24033032074460312,0.4988774413390331,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
12,4096,10000.0,20,5.251006414020184,7.1173945653737425,1.591497807086326,1.9199632212504296,8.582049606789937,5.67954135010449,30.78321123748797,0.0,0.23060171800183332,0.49090865323978505,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,0.1,20,1.7058297876141175,3.9604938075917677,0.8855933378242165,-0.14773837087571096,3.559397946103946,0.9999957496433746,0.9999151018050002,1.0,0.044493156377868354,0.0990099009900991,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,1.0,20,1.6982984753925638,3.9625566017821616,0.8860545926275477,-0.15623510049584843,3.5528320512809763,0.9865903648053223,0.7802549348640377,1.0,0.2506930521581907,0.4963724520753078,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,10.0,20,1.460316196564804,4.024450350107541,0.899894455491329,-0.4231845452072147,3.343816938336823,0.6245395654501461,0.2080955330506991,1.0,0.23001144181988073,0.4972780728306132,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,50.0,20,1.0378126274914605,4.102494617678073,0.9173456842455182,-0.8822139558420581,2.957839210824979,0.15127857148025767,0.041838004118470815,1.0,0.2617115367964958,0.49933518870138727,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,100.0,20,0.9621629031431169,4.081987880804223,0.9127602384808552,-0.9482662319047774,2.8725920381910113,0.09929535304785954,0.028613214320624213,1.0,0.2425779252332895,0.4964783904521539,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,200.0,20,0.8393857074001965,3.6829645091535923,0.8235359001186578,-0.8842947412169528,2.5630661560173458,0.05968053513014267,0.021825882860996904,1.0,0.2470507869008356,0.49390912963048095,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,500.0,20,0.04713253735269261,0.1839285120412257,0.041127665592456925,-0.03894865603398068,0.1332137307393659,0.00848532419856306,0.0024966334794834085,1.0,0.241082943504979,0.49906720776611735,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,1000.0,20,0.04182461033828421,0.1733867521063763,0.03877045641077623,-0.03932288752985925,0.12297210820642768,0.00525914705483224,0.0016490620143938344,1.0,0.24033032074460312,0.4988774413390331,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
13,8192,10000.0,20,3.302915112864274,7.182568298887391,1.6060710969347234,-0.05863032611004071,6.664460551838589,4.032673381262932,24.118066433169655,0.0,0.23060171800183332,0.49090865323978505,"Student t, two-sided 95% for the mean",spectral_filter_equivalent
