problem,matrix_role,eigenvalue_index,eigenvalue,tau,tau_lambda,nearest_integer,grid_distance,aliased
heat_2d,physical_hermitian_400x400,167,-4.298920374345699,44.97941097041009,-193.3629062467644,-193,0.3629062467643962,False
heat_2d,physical_hermitian_400x400,168,-4.295581680739783,44.97941097041009,-193.21273377495962,-193,0.21273377495961654,False
heat_2d,physical_hermitian_400x400,169,-4.295581680739781,44.97941097041009,-193.21273377495956,-193,0.2127337749595597,False
heat_2d,physical_hermitian_400x400,170,-4.285640180820163,44.97941097041009,-192.76557096441275,-193,0.23442903558725448,False
heat_2d,physical_hermitian_400x400,171,-4.28564018082016,44.97941097041009,-192.76557096441257,-193,0.234429035587425,False
heat_2d,physical_hermitian_400x400,172,-4.26931795126721,44.97941097041009,-192.0314066933971,-192,0.03140669339708779,False
heat_2d,physical_hermitian_400x400,173,-4.269317951267208,44.97941097041009,-192.031406693397,-192,0.03140669339700253,False
heat_2d,physical_hermitian_400x400,174,-4.258668062940293,44.97941097041009,-191.55238098955172,-192,0.44761901044827823,False
heat_2d,physical_hermitian_400x400,175,-4.258668062940292,44.97941097041009,-191.5523809895517,-192,0.44761901044830665,False
heat_2d,physical_hermitian_400x400,176,-4.24697960371747,44.97941097041009,-191.02664097855748,-191,0.02664097855748082,False
heat_2d,physical_hermitian_400x400,177,-4.246979603717464,44.97941097041009,-191.02664097855723,-191,0.026640978557225026,False
heat_2d,physical_hermitian_400x400,178,-4.2191241399421875,44.97941097041009,-189.77371862563768,-190,0.22628137436231555,False
heat_2d,physical_hermitian_400x400,179,-4.219124139942187,44.97941097041009,-189.77371862563763,-190,0.2262813743623724,False
heat_2d,physical_hermitian_400x400,180,-4.186373804972338,44.97941097041009,-188.30062784961024,-188,0.3006278496102368,False
heat_2d,physical_hermitian_400x400,181,-4.186373804972338,44.97941097041009,-188.30062784961024,-188,0.3006278496102368,False
heat_2d,physical_hermitian_400x400,182,-4.175723916645423,44.97941097041009,-187.82160214576496,-188,0.17839785423504395,False
heat_2d,physical_hermitian_400x400,183,-4.175723916645419,44.97941097041009,-187.82160214576476,-188,0.1783978542352429,False
heat_2d,physical_hermitian_400x400,184,-4.149460187172849,44.97941097041009,-186.64027506420237,-187,0.35972493579762954,False
heat_2d,physical_hermitian_400x400,185,-4.149460187172849,44.97941097041009,-186.64027506420237,-187,0.35972493579762954,False
heat_2d,physical_hermitian_400x400,186,-4.109207875767444,44.97941097041009,-184.82974980698972,-185,0.17025019301027555,False
heat_2d,physical_hermitian_400x400,187,-4.109207875767441,44.97941097041009,-184.8297498069896,-185,0.17025019301038924,False
heat_2d,physical_hermitian_400x400,188,-4.0665160408779775,44.97941097041009,-182.90949622041552,-183,0.09050377958448053,False
heat_2d,physical_hermitian_400x400,189,-4.066516040877974,44.97941097041009,-182.90949622041535,-183,0.09050377958465106,False
heat_2d,physical_hermitian_400x400,190,-4.000000000000005,44.97941097041009,-179.9176438816406,-180,0.08235611835939949,False
heat_2d,physical_hermitian_400x400,191,-4.000000000000003,44.97941097041009,-179.9176438816405,-180,0.08235611835951318,False
heat_2d,physical_hermitian_400x400,192,-4.000000000000003,44.97941097041009,-179.9176438816405,-180,0.08235611835951318,False
heat_2d,physical_hermitian_400x400,193,-4.000000000000002,44.97941097041009,-179.91764388164046,-180,0.0823561183595416,False
